sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:em,avg:g_CB:bar,avg:g_CB:win,avg:g_CB:buf,avg:g_CB:I,tot:g_CB:em,tot:g_CB:bar,tot:g_CB:win,tot:g_CB:buf,tot:g_CB:I,tot:g_SRH_CB:em,tot:g_SRH_CB:bar,tot:g_SRH_CB:win,tot:g_SRH_CB:buf,tot:g_SRH_CB:I,tot:g_nr_top_CB:em,tot:g_nr_top_CB:bar,tot:g_nr_top_CB:win,tot:g_nr_top_CB:buf,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:em,tot:g_nr_bottom_CB:bar,tot:g_nr_bottom_CB:win,tot:g_nr_bottom_CB:buf,tot:g_nr_bottom_CB:I,tot:g_opt_cv_CB:em,tot:g_opt_cv_CB:bar,tot:g_opt_cv_CB:win,tot:g_opt_cv_CB:buf,tot:g_opt_cv_CB:I,tot:g_opt_ci_CB:em,tot:g_opt_ci_CB:bar,tot:g_opt_ci_CB:win,tot:g_opt_ci_CB:buf,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:em,tot:g_opt_iv_CB:bar,tot:g_opt_iv_CB:win,tot:g_opt_iv_CB:buf,tot:g_opt_iv_CB:I,tot:gother_forward_ci:em,tot:gother_forward_ci:bar,tot:gother_forward_ci:win,tot:gother_forward_ci:buf,tot:gother_forward_ci:I,tot:gabs_forward_ci:em,tot:gabs_forward_ci:bar,tot:gabs_forward_ci:win,tot:gabs_forward_ci:buf,tot:gabs_forward_ci:I,tot:gother_forward_iv:em,tot:gother_forward_iv:bar,tot:gother_forward_iv:win,tot:gother_forward_iv:buf,tot:gother_forward_iv:I,tot:gabs_forward_iv:em,tot:gabs_forward_iv:bar,tot:gabs_forward_iv:win,tot:gabs_forward_iv:buf,tot:gabs_forward_iv:I,tot:gother_forward_cv:em,tot:gother_forward_cv:bar,tot:gother_forward_cv:win,tot:gother_forward_cv:buf,tot:gother_forward_cv:I,tot:gabs_forward_cv:em,tot:gabs_forward_cv:bar,tot:gabs_forward_cv:win,tot:gabs_forward_cv:buf,tot:gabs_forward_cv:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:em,avg:g_IB:bar,avg:g_IB:win,avg:g_IB:buf,avg:g_IB:I,tot:g_IB:em,tot:g_IB:bar,tot:g_IB:win,tot:g_IB:buf,tot:g_IB:I,tot:g_SRH_IB:em,tot:g_SRH_IB:bar,tot:g_SRH_IB:win,tot:g_SRH_IB:buf,tot:g_SRH_IB:I,tot:g_nr_top_IB:em,tot:g_nr_top_IB:bar,tot:g_nr_top_IB:win,tot:g_nr_top_IB:buf,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:em,tot:g_nr_bottom_IB:bar,tot:g_nr_bottom_IB:win,tot:g_nr_bottom_IB:buf,tot:g_nr_bottom_IB:I,tot:g_opt_cv_IB:em,tot:g_opt_cv_IB:bar,tot:g_opt_cv_IB:win,tot:g_opt_cv_IB:buf,tot:g_opt_cv_IB:I,tot:g_opt_ci_IB:em,tot:g_opt_ci_IB:bar,tot:g_opt_ci_IB:win,tot:g_opt_ci_IB:buf,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:em,tot:g_opt_iv_IB:bar,tot:g_opt_iv_IB:win,tot:g_opt_iv_IB:buf,tot:g_opt_iv_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:em,avg:g_VB:bar,avg:g_VB:win,avg:g_VB:buf,avg:g_VB:I,tot:g_VB:em,tot:g_VB:bar,tot:g_VB:win,tot:g_VB:buf,tot:g_VB:I,tot:g_SRH_VB:em,tot:g_SRH_VB:bar,tot:g_SRH_VB:win,tot:g_SRH_VB:buf,tot:g_SRH_VB:I,tot:g_nr_top_VB:em,tot:g_nr_top_VB:bar,tot:g_nr_top_VB:win,tot:g_nr_top_VB:buf,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:em,tot:g_nr_bottom_VB:bar,tot:g_nr_bottom_VB:win,tot:g_nr_bottom_VB:buf,tot:g_nr_bottom_VB:I,tot:g_opt_cv_VB:em,tot:g_opt_cv_VB:bar,tot:g_opt_cv_VB:win,tot:g_opt_cv_VB:buf,tot:g_opt_cv_VB:I,tot:g_opt_ci_VB:em,tot:g_opt_ci_VB:bar,tot:g_opt_ci_VB:win,tot:g_opt_ci_VB:buf,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:em,tot:g_opt_iv_VB:bar,tot:g_opt_iv_VB:win,tot:g_opt_iv_VB:buf,tot:g_opt_iv_VB:I
0.672,-1,-1,1,-112.28919032446098,8.780900733391423,-1.1228919032446096e-06,8.78090073339142e-08,4.8284076967100926e+22,3.2406552788831127e+22,5.4978902158276915e+22,1.2629714517605346e+22,-2.9755135183370966e+22,4828407696.710092,3240655278.8831134,1649367064.7483068,3788914355.2816024,-5951027036.674192,-16301779.356957087,-7327169.648768175,-3355708.8096832717,-12641748.534339558,-137.65091829038738,0.0,0.0,0.0,0.0,-9922606176.367579,0.0,0.0,0.0,0.0,0.0,4844709476.06677,3247982448.531877,1652807263.4797392,3801556103.9208198,3967094720.1528435,0.0,0.0,0.0,0.0,4484557.191454429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7200108029538417e-06,566.6808873786294,1.5350126287255566e-34,4.560931601157059e-26,4483993.531011335,0.0,0.0,0.0,0.0,0.0,2844659.245552308,225231.57678791112,2.527204768252779e-22,1.8124796661592143e-23,21814535986.1368,0.0,0.0,0.0,0.0,0.0,4845058756.366289,3247676215.715056,1652922772.8063562,3802443809.36998,3967520192.654228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28244445566.087967,0.0,0.0,0.0,0.0,-0.005648889113217592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9922606176.367579,0.0,0.0,0.0,0.0,-31735727464.580772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4484557.191454429,0.0,0.0,0.0,0.0,21817605845.39899,75.85781289250076,-45.21227816535239,7.585781289250075e-07,-4.5212278165352375e-07,4.8284076967100926e+22,3.2406552788831127e+22,5.4978902158276915e+22,1.2629714517605346e+22,-2.975513518339918e+22,4828407696.710092,3240655278.8831134,1649367064.7483068,3788914355.2816024,-5951027036.679835,-16301779.356957087,-7327169.648768175,-3355708.8096832717,-12641748.534339558,-137.65091829038738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31735727464.580772,4844709476.06677,3247982448.531877,1652807263.4797392,3801556103.9208198,3967094720.1528435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21817605845.39899
0.6960000000000001,-1,-1,1,-111.8625286662875,8.780882527734576,-1.1186252866628749e-06,8.780882527734576e-08,4.828406359092368e+22,3.2399566245652576e+22,5.4978898803568415e+22,1.2628754758103667e+22,-2.9883351463582203e+22,4828406359.092367,3239956624.5652575,1649366964.1070516,3788626427.4310985,-5976670292.716439,-16303049.88791601,-8025823.822754409,-3355803.7811080087,-12913296.938982906,-137.7797829859084,0.0,0.0,0.0,0.0,-9948204992.01506,0.0,0.0,0.0,0.0,0.0,4844709408.980005,3247982448.3880076,1652807260.9670858,3801539724.477562,3967094720.1521726,0.0,0.0,0.0,0.0,4440116.92622613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7255074467360703e-06,534.7730992624314,1.5398952687334005e-34,4.3040881891383606e-26,4439585.18136344,0.0,0.0,0.0,0.0,0.0,2844659.2455522497,225363.01927526432,2.527204768252728e-22,1.8135377235584272e-23,21814723478.358536,0.0,0.0,0.0,0.0,0.0,4845058756.366289,3247676215.715059,1652922772.8063567,3802443809.3699856,3967520192.654228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36916343960.91104,0.0,0.0,0.0,0.0,-0.007383268792182207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9948204992.01506,0.0,0.0,0.0,0.0,-31761558344.133755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4440116.92622613,0.0,0.0,0.0,0.0,21817793469.03753,77.29697608295571,-43.34643511106763,7.72969760829557e-07,-4.334643511106762e-07,4.828406359092368e+22,3.2399566245652576e+22,5.4978898803568415e+22,1.2628754758103667e+22,-2.98833514636191e+22,4828406359.092367,3239956624.5652575,1649366964.1070516,3788626427.4310985,-5976670292.723819,-16303049.88791601,-8025823.822754409,-3355803.7811080087,-12913296.938982906,-137.7797829859084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31761558344.133755,4844709408.980005,3247982448.3880076,1652807260.9670858,3801539724.477562,3967094720.1521726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21817793469.03753
0.72,-1,-1,1,-110.89530568619564,8.780858828212441,-1.1089530568619562e-06,8.78085882821244e-08,4.8284046465374955e+22,3.239315310717184e+22,5.4978894425159585e+22,1.2627744185591852e+22,-3.0180473865897375e+22,4828404646.537496,3239315310.7171845,1649366832.7547867,3788323255.677554,-6036094773.179474,-16304674.822149698,-8667137.453988044,-3355927.7333794422,-13199376.656304363,-138.05795129258493,0.0,0.0,0.0,0.0,-10007585229.098793,0.0,0.0,0.0,0.0,0.0,4844709321.359365,3247982448.171168,1652807257.687476,3801522632.444067,3967094720.15129,0.0,0.0,0.0,0.0,4395873.825976256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7327776291345434e-06,503.9728627763144,1.5463533484809214e-34,4.0561628462914944e-26,4395372.899425422,0.0,0.0,0.0,0.0,0.0,2844659.2455521626,225489.79594571755,2.5272047682526526e-22,1.8145582115019394e-23,21814910139.80091,0.0,0.0,0.0,0.0,0.0,4845058756.366289,3247676215.715055,1652922772.8063567,3802443809.369979,3967520192.6542263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57729941909.201454,0.0,0.0,0.0,0.0,-0.011545988381840289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10007585229.098793,0.0,0.0,0.0,0.0,-31821169612.481655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4395873.825976256,0.0,0.0,0.0,0.0,21817980257.19729,78.79833495602968,-40.87782955837956,7.879833495602967e-07,-4.0877829558379554e-07,4.8284046465374955e+22,3.239315310717184e+22,5.4978894425159585e+22,1.2627744185591852e+22,-3.018047386595509e+22,4828404646.537496,3239315310.7171845,1649366832.7547867,3788323255.677554,-6036094773.191017,-16304674.822149698,-8667137.453988044,-3355927.7333794422,-13199376.656304363,-138.05795129258493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31821169612.481655,4844709321.359365,3247982448.171168,1652807257.687476,3801522632.444067,3967094720.15129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21817980257.19729
0.744,-1,-1,1,-108.6871815951039,8.780823423585433,-1.086871815951039e-06,8.780823423585433e-08,4.828402146618725e+22,3.2387915155539394e+22,5.497888786067312e+22,1.2626694107717993e+22,-3.0865378842329817e+22,4828402146.618723,3238791515.5539403,1649366635.8201928,3788008232.3153963,-6173075768.465962,-16307043.642673483,-9190932.287699321,-3356113.5732741416,-13496757.969704065,-138.67373481150912,0.0,0.0,0.0,0.0,-10144522456.16203,0.0,0.0,0.0,0.0,0.0,4844709190.261118,3247982447.8416348,1652807252.769986,3801504990.398145,3967094720.1499634,0.0,0.0,0.0,0.0,4352106.219828563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7438385369056503e-06,474.3522492382659,1.5561787341158374e-34,3.817735497508064e-26,4351634.95557502,0.0,0.0,0.0,0.0,0.0,2844659.245552038,225611.62331937542,2.527204768252539e-22,1.8155388490106762e-23,21815094795.691124,0.0,0.0,0.0,0.0,0.0,4845058756.36629,3247676215.7150545,1652922772.8063562,3802443809.369978,3967520192.654226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114527076948.43414,0.0,0.0,0.0,0.0,-0.022905415389686823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10144522456.16203,0.0,0.0,0.0,0.0,-31958335384.743576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4352106.219828563,0.0,0.0,0.0,0.0,21818165034.778454,80.34753844078081,-37.12046657790952,8.03475384407808e-07,-3.712046657790951e-07,4.828402146618725e+22,3.2387915155539394e+22,5.497888786067312e+22,1.2626694107717993e+22,-3.086537884244436e+22,4828402146.618723,3238791515.5539403,1649366635.8201928,3788008232.3153963,-6173075768.488872,-16307043.642673483,-9190932.287699321,-3356113.5732741416,-13496757.969704065,-138.67373481150912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31958335384.743576,4844709190.261118,3247982447.8416348,1652807252.769986,3801504990.398145,3967094720.1499634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21818165034.778454
0.768,-1,-1,1,-103.6990266304801,8.780762541294317,-1.0369902663048008e-06,8.780762541294316e-08,4.828397739945464e+22,3.2384233834003424e+22,5.497887654473124e+22,1.262561978329999e+22,-3.241860302633047e+22,4828397739.945463,3238423383.400343,1649366296.3419363,3787685934.9899955,-6483720605.266093,-16311223.952615352,-9559063.940201981,-3356433.9263600125,-13801093.293345174,-140.0112587907447,0.0,0.0,0.0,0.0,-10455124587.635288,0.0,0.0,0.0,0.0,0.0,4844708963.897799,3247982447.3405385,1652807244.2927256,3801487028.3992867,3967094720.147684,0.0,0.0,0.0,0.0,4309402.232764859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7631490892532666e-06,446.0550623803157,1.5733322301150618e-34,3.5899634411822314e-26,4308959.360245611,0.0,0.0,0.0,0.0,0.0,2844659.2455518153,225727.93802223218,2.5272047682523414e-22,1.8164751022456365e-23,21815274963.677265,0.0,0.0,0.0,0.0,0.0,4845058756.366288,3247676215.715053,1652922772.8063567,3802443809.369978,3967520192.654226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-229795323684.81165,0.0,0.0,0.0,0.0,-0.04595906473696232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10455124587.635288,0.0,0.0,0.0,0.0,-32269160504.218708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4309402.232764859,0.0,0.0,0.0,0.0,21818345318.770214,81.9243290954084,-30.55546007636782,8.192432909540839e-07,-3.055546007636781e-07,4.828397739945464e+22,3.2384233834003424e+22,5.497887654473124e+22,1.262561978329999e+22,-3.241860302656026e+22,4828397739.945463,3238423383.400343,1649366296.3419363,3787685934.9899955,-6483720605.312051,-16311223.952615352,-9559063.940201981,-3356433.9263600125,-13801093.293345174,-140.0112587907447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32269160504.218708,4844708963.897799,3247982447.3405385,1652807244.2927256,3801487028.3992867,3967094720.147684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21818345318.770214
0.792,-1,-1,1,-92.7860368102284,8.780650623822854,-9.278603681022838e-07,8.780650623822853e-08,4.828389610974775e+22,3.2381989785271294e+22,5.4978855672592135e+22,1.2624542683697817e+22,-3.5821533426585004e+22,4828389610.974774,3238198978.5271297,1649365670.1777632,3787362805.109343,-7164306685.316999,-16318935.392775634,-9783468.062867545,-3357024.8143641,-14106276.23338598,-142.72969308179617,0.0,0.0,0.0,0.0,-11135670146.93425,0.0,0.0,0.0,0.0,0.0,4844708546.367271,3247982446.589994,1652807228.6556256,3801469081.461589,3967094720.143478,0.0,0.0,0.0,0.0,4268884.203465915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7998235715176315e-06,419.340291296976,1.6059097580943308e-34,3.3749310829054476e-26,4268468.252876142,0.0,0.0,0.0,0.0,0.0,2844659.245551402,225837.7300032122,2.527204768251973e-22,1.8173588421555178e-23,21815445906.618004,0.0,0.0,0.0,0.0,0.0,4845058756.366287,3247676215.715057,1652922772.806356,3802443809.369985,3967520192.654227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-425269268453.1213,0.0,0.0,0.0,0.0,-0.08505385369062424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11135670146.93425,0.0,0.0,0.0,0.0,-32949917633.6418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4268884.203465915,0.0,0.0,0.0,0.0,21818516370.825947,83.4992669993644,-18.06742043468887,8.349926699936439e-07,-1.8067420434688865e-07,4.828389610974775e+22,3.2381989785271294e+22,5.4978855672592135e+22,1.2624542683697817e+22,-3.5821533427010244e+22,4828389610.974774,3238198978.5271297,1649365670.1777632,3787362805.109343,-7164306685.402048,-16318935.392775634,-9783468.062867545,-3357024.8143641,-14106276.23338598,-142.72969308179617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32949917633.6418,4844708546.367271,3247982446.589994,1652807228.6556256,3801469081.461589,3967094720.143478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21818516370.825947
0.8160000000000001,-1,-1,1,-70.32261104620869,8.780448599032558,-7.032261104620868e-07,8.780448599032557e-08,4.828374790225921e+22,3.238077013095391e+22,5.4978817839062005e+22,1.2623491045264697e+22,-4.282961449492672e+22,4828374790.22592,3238077013.0953918,1649364535.171859,3787047313.579407,-8565922898.985342,-16332997.076240787,-9905432.415191274,-3358095.8775348524,-14404284.929698946,-147.6120440176493,0.0,0.0,0.0,0.0,-12537249758.246128,0.0,0.0,0.0,0.0,0.0,4844707787.301883,3247982445.5105786,1652807200.309901,3801451598.6308203,3967094720.135824,0.0,0.0,0.0,0.0,4232286.737000383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8700855099735087e-06,394.5767780444594,1.6683214559842583e-34,3.175606969124528e-26,4231895.97656537,0.0,0.0,0.0,0.0,0.0,2844659.2455506013,225939.5709364669,2.5272047682512656e-22,1.8181785732787462e-23,21815600303.118973,0.0,0.0,0.0,0.0,0.0,4845058756.366288,3247676215.7150493,1652922772.8063567,3802443809.3699737,3967520192.654223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-797390714287.758,0.0,0.0,0.0,0.0,-0.15947814285755157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12537249758.246128,0.0,0.0,0.0,0.0,-34351688339.442432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4232286.737000383,0.0,0.0,0.0,0.0,21818670867.773808,85.03295092293159,5.929891277687479,8.503295092293158e-07,5.929891277687478e-08,4.828374790225921e+22,3.238077013095391e+22,5.4978817839062005e+22,1.2623491045264697e+22,-4.282961449572411e+22,4828374790.22592,3238077013.0953918,1649364535.171859,3787047313.579407,-8565922899.144819,-16332997.076240787,-9905432.415191274,-3358095.8775348524,-14404284.929698946,-147.6120440176493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34351688339.442432,4844707787.301883,3247982445.5105786,1652807200.309901,3801451598.6308203,3967094720.135824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21818670867.773808
0.84,-1,-1,1,-28.100564545127327,8.780117902858127,-2.8100564545127324e-07,8.780117902858124e-08,4.828350568619481e+22,3.2380195984381e+22,5.497875545919085e+22,1.2622492884587044e+22,-5.600426952834431e+22,4828350568.61948,3238019598.438101,1649362663.7757244,3786747865.3761115,-11200853905.66886,-16355966.867146468,-9962845.625753865,-3359861.84502184,-14687162.135024931,-154.99470666762653,0.0,0.0,0.0,0.0,-15172149865.151806,0.0,0.0,0.0,0.0,0.0,4844706535.486348,3247982444.063851,1652807153.5698137,3801435027.635567,3967094720.1231675,0.0,0.0,0.0,0.0,4201394.354473374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.997296745280153e-06,372.0813337390252,1.7813160380903858e-34,2.9945407340667816e-26,4201026.891547525,0.0,0.0,0.0,0.0,0.0,2844659.245549154,226032.2561335552,2.527204768249977e-22,1.8189246006879736e-23,21815730620.96531,0.0,0.0,0.0,0.0,0.0,4845058756.366289,3247676215.715059,1652922772.8063567,3802443809.3699865,3967520192.654229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1077377498149.8721,0.0,0.0,0.0,0.0,-0.21547549962997437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15172149865.151806,0.0,0.0,0.0,0.0,-36986749746.69769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4201394.354473374,0.0,0.0,0.0,0.0,21818801275.684895,86.48614953107622,49.60546708308648,8.64861495310762e-07,4.960546708308648e-07,4.828350568619481e+22,3.2380195984381e+22,5.497875545919085e+22,1.2622492884587044e+22,-5.600426952942167e+22,4828350568.61948,3238019598.438101,1649362663.7757244,3786747865.3761115,-11200853905.884333,-16355966.867146468,-9962845.625753865,-3359861.84502184,-14687162.135024931,-154.99470666762653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36986749746.69769,4844706535.486348,3247982444.063851,1652807153.5698137,3801435027.635567,3967094720.1231675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21818801275.684895
0.864,-1,-1,1,43.24419052202186,8.779648211186732,4.3244190522021856e-07,8.779648211186731e-08,4.828315555810332e+22,3.23800234268662e+22,5.4978665976548385e+22,1.262156155451058e+22,-7.826769475394755e+22,4828315555.810331,3238002342.68662,1649359979.2964509,3786468466.3531723,-15653538950.789507,-16389177.116879586,-9980099.60904608,-3362395.0891247652,-14951110.09808863,-164.33286604888605,0.0,0.0,0.0,0.0,-19624810338.133354,0.0,0.0,0.0,0.0,0.0,4844704732.926931,3247982442.295659,1652807086.5158951,3801419576.5782404,3967094720.1048985,0.0,0.0,0.0,0.0,4176831.571809863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2073719737388814e-06,351.8403170827156,1.9679062566001053e-34,2.8316221155850794e-26,4176485.705292652,0.0,0.0,0.0,0.0,0.0,2844659.2455467717,226115.89031207585,2.5272047682478604e-22,1.819597769189688e-23,21815834223.713844,0.0,0.0,0.0,0.0,0.0,4845058756.366286,3247676215.71505,1652922772.8063562,3802443809.3699727,3967520192.654223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-204438567161.56012,0.0,0.0,0.0,0.0,-0.04088771343231201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19624810338.133354,0.0,0.0,0.0,0.0,-41439538464.24188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4176831.571809863,0.0,0.0,0.0,0.0,21818904957.639446,87.84068690602079,122.30522921684917,8.784068690602078e-07,1.2230522921684915e-06,4.828315555810332e+22,3.23800234268662e+22,5.4978665976548385e+22,1.262156155451058e+22,-7.826769475415195e+22,4828315555.810331,3238002342.68662,1649359979.2964509,3786468466.3531723,-15653538950.830387,-16389177.116879586,-9980099.60904608,-3362395.0891247652,-14951110.09808863,-164.33286604888605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41439538464.24188,4844704732.926931,3247982442.295659,1652807086.5158951,3801419576.5782404,3967094720.1048985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21818904957.639446
0.888,-1,-1,1,152.0460947837426,8.779071897373596,1.5204609478374259e-06,8.779071897373594e-08,4.828271950633915e+22,3.238012051043159e+22,5.497855466627463e+22,1.262068840680096e+22,-1.1222078737904776e+23,4828271950.633914,3238012051.0431595,1649356639.988238,3786206522.0402865,-22444157475.809547,-16430533.291020194,-9970389.306093412,-3365546.2712341053,-15198570.64618114,-174.59528738729395,0.0,0.0,0.0,0.0,-26415409438.01,0.0,0.0,0.0,0.0,0.0,4844702483.924656,3247982440.349248,1652807003.0947595,3801405092.815843,3967094720.0820346,0.0,0.0,0.0,0.0,4157416.7137024035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.522142578435807e-06,333.42033125731473,2.247475178715591e-34,2.683362286790088e-26,4157091.3342326344,0.0,0.0,0.0,0.0,0.0,2844659.245543193,226192.2164641536,2.52720476824468e-22,1.8202121098273396e-23,21815916098.06935,0.0,0.0,0.0,0.0,0.0,4845058756.366286,3247676215.715053,1652922772.806356,3802443809.369978,3967520192.654224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2772030234336.8535,0.0,0.0,0.0,0.0,-0.5544060468673706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26415409438.01,0.0,0.0,0.0,0.0,-48230238923.4187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4157416.7137024035,0.0,0.0,0.0,0.0,21818986901.56797,89.11001759927062,232.37704048562927,8.911001759927061e-07,2.3237704048562926e-06,4.828271950633915e+22,3.238012051043159e+22,5.497855466627463e+22,1.262068840680096e+22,-1.1222078738181979e+23,4828271950.633914,3238012051.0431595,1649356639.988238,3786206522.0402865,-22444157476.363953,-16430533.291020194,-9970389.306093412,-3365546.2712341053,-15198570.64618114,-174.59528738729395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48230238923.4187,4844702483.924656,3247982440.349248,1652807003.0947595,3801405092.815843,3967094720.0820346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21818986901.56797
0.912,-1,-1,1,303.1230875949206,8.77844824742055,3.0312308759492056e-06,8.77844824742055e-08,4.828224081651357e+22,3.238043295739806e+22,5.497843220891269e+22,1.2619850124685562e+22,-1.5936705063351213e+23,4828224081.651356,3238043295.739806,1649352966.2673798,3785955037.405667,-31873410126.70242,-16475920.106638959,-9939142.72398266,-3369013.0263103717,-15436145.806380514,-184.8664728184059,0.0,0.0,0.0,0.0,-35844645380.75532,0.0,0.0,0.0,0.0,0.0,4844700001.757714,3247982438.463784,1652806911.3056295,3801391183.3437324,3967094720.0566773,0.0,0.0,0.0,0.0,4140718.862681021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9524741931984035e-06,316.1642727382769,2.6296665651624754e-34,2.5444719649259154e-26,4140413.609533699,0.0,0.0,0.0,0.0,0.0,2844659.245538304,226263.82917403628,2.5272047682403367e-22,1.82078850743198e-23,21815986503.491432,0.0,0.0,0.0,0.0,0.0,4845058756.366288,3247676215.715052,1652922772.806356,3802443809.3699756,3967520192.654225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-849742889404.2971,0.0,0.0,0.0,0.0,-0.16994857788085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35844645380.75532,0.0,0.0,0.0,0.0,-57659562031.28819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4140718.862681021,0.0,0.0,0.0,0.0,21819057369.22561,90.32862950379634,384.67326885127915,9.032862950379633e-07,3.846732688512791e-06,4.828224081651357e+22,3.238043295739806e+22,5.497843220891269e+22,1.2619850124685562e+22,-1.5936705063436186e+23,4828224081.651356,3238043295.739806,1649352966.2673798,3785955037.405667,-31873410126.872368,-16475920.106638959,-9939142.72398266,-3369013.0263103717,-15436145.806380514,-184.8664728184059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57659562031.28819,4844700001.757714,3247982438.463784,1652806911.3056295,3801391183.3437324,3967094720.0566773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21819057369.22561
